iata,country,lat,lon
KTT,Finland,67.700996398926,24.846799850464
KUO,Finland,63.007099151611,27.797800064087
QLF,Finland,61.144199,25.693501
LPP,Finland,61.044601,28.144743
MHQ,Finland,60.122200012207,19.898199081421
MIK,Finland,61.6866,27.201799
OUL,Finland,64.930099487305,25.354600906372
POR,Finland,61.461700439453,21.799999237061
RVN,Finland,66.564796447754,25.830400466919
SVL,Finland,61.943099975586,28.945100784302
SOT,Finland,67.3949966431,26.6191005707
TMP,Finland,61.414100646973,23.604400634766
TKU,Finland,60.514099121094,22.262800216675
UTI,Finland,60.89640045166,26.938400268555
VAA,Finland,63.050701141357,21.762199401855
VRK,Finland,62.171100616455,27.868600845337
YLI,Finland,64.0547222,24.7252778
BFS,United Kingdom,54.6575012207,-6.2158298492399995
ENK,United Kingdom,54.39889907836914,-7.651669979095459
BHD,United Kingdom,54.618099212646484,-5.872499942779541
LDY,United Kingdom,55.04280090332031,-7.161109924316406
BHX,United Kingdom,52.453899383499994,-1.74802994728
CVT,United Kingdom,52.3697013855,-1.4797199964499999
GLO,United Kingdom,51.89419937133789,-2.167220115661621
GBA,United Kingdom,51.668095,-2.05694
MAN,United Kingdom,53.35369873046875,-2.2749500274658203
NQY,United Kingdom,50.44060134887695,-4.995409965515137
LYE,United Kingdom,51.5051,-1.99343
YEO,United Kingdom,51.0093994140625,-2.638819932937622
HAW,United Kingdom,51.833099365234375,-4.9611101150512695
CWL,United Kingdom,51.39670181274414,-3.343329906463623
SWS,United Kingdom,51.60530090332031,-4.0678300857543945
BRS,United Kingdom,51.382702,-2.71909
LPL,United Kingdom,53.33359909057617,-2.849720001220703
LTN,United Kingdom,51.874698638916016,-0.36833301186561584
PLH,United Kingdom,50.422798,-4.10583
BOH,United Kingdom,50.779998779296875,-1.8424999713897705
SOU,United Kingdom,50.95029830932617,-1.3567999601364136
QLA,United Kingdom,51.187198638916016,-1.0334999561309814
ACI,Guernsey,49.706104,-2.21472
GCI,Guernsey,49.435001373291016,-2.6019699573516846
JER,Jersey,49.20790100097656,-2.195509910583496
ESH,United Kingdom,50.835602,-0.297222
BQH,United Kingdom,51.33079910279999,0.0324999988079
LGW,United Kingdom,51.148102,-0.190278
LCY,United Kingdom,51.505299,0.055278
FAB,United Kingdom,51.2757987976,-0.776332974434
BBS,United Kingdom,51.32389831542969,-0.8475000262260437
LHR,United Kingdom,51.4706,-0.461941
SEN,United Kingdom,51.5713996887207,0.6955559849739075
LYX,United Kingdom,50.95610046386719,0.9391670227050781
MSE,United Kingdom,51.342201,1.34611
CAX,United Kingdom,54.9375,-2.8091700077056885
BLK,United Kingdom,53.77170181274414,-3.0286099910736084
HUY,United Kingdom,53.57440185546875,-0.350832998752594
BWF,United Kingdom,54.1286111,-3.2675
LBA,United Kingdom,53.86589813232422,-1.6605700254440308
WRT,United Kingdom,53.745098,-2.88306
CEG,United Kingdom,53.1781005859375,-2.9777801036834717
IOM,Isle of Man,54.08330154418945,-4.623889923095703
NCL,United Kingdom,55.037498474121094,-1.6916699409484863
MME,United Kingdom,54.50920104980469,-1.4294099807739258
EMA,United Kingdom,52.8311004639,-1.32806003094
KOI,United Kingdom,58.957801818847656,-2.9049999713897705
LSI,United Kingdom,59.87889862060547,-1.2955600023269653
WIC,United Kingdom,58.458900451660156,-3.09306001663208
ABZ,United Kingdom,57.201900482177734,-2.197779893875122
INV,United Kingdom,57.54249954223633,-4.047500133514404
GLA,United Kingdom,55.8718986511,-4.43306016922
EDI,United Kingdom,55.95000076293945,-3.372499942779541
ILY,United Kingdom,55.68190002441406,-6.256669998168945
PIK,United Kingdom,55.5093994140625,-4.586669921875
BEB,United Kingdom,57.48109817504883,-7.3627800941467285
SCS,United Kingdom,60.43280029296875,-1.2961100339889526
DND,United Kingdom,56.45249938964844,-3.025830030441284
SYY,United Kingdom,58.215599060058594,-6.331110000610352
TRE,United Kingdom,56.49919891357422,-6.869170188903809
ADX,United Kingdom,56.37289810180664,-2.8684399127960205
LMO,United Kingdom,57.7052001953125,-3.339169979095459
CBG,United Kingdom,52.205002,0.175
NWI,United Kingdom,52.6758003235,1.28278005123
STN,United Kingdom,51.8849983215,0.234999999404
EXT,United Kingdom,50.73440170288086,-3.4138898849487305
FZO,United Kingdom,51.5194015503,-2.59083008766
OXF,United Kingdom,51.8368988037,-1.32000005245
BEX,United Kingdom,51.616401672399995,-1.09582996368
